sr_no,song_name,album_name,artist_name,isrc,upc,language,label,Main_Label,Sub_Label,Label_Identification,ad_supported_streams,subscription_streams,jio_trial_streams,total,income,admin_Exp,royality,id,original_l1_name,original_l2_name,company
"79975","Tara Maiya Tere Darbar","Tara Maa Ki Mahima Aapar","Jojo  Mrinal Mukherjee  Prem Kumar","INT441651504","8.90387E+12","Hindi","ThinkTrek","Thinktrek Software LLP","ThinkTrek","PDL","9","0","0","9","0.67500000","0.10125000","0.57375000","0","Thinktrek Software LLP","ThinkTrek",""
"157238","Lovely Lovely Night","Hiya Deba Kaak","Sanchita  Shaan  Swarna","INT441629102","8.90387E+12","Assamese","ThinkTrek","Thinktrek Software LLP","ThinkTrek","PDL","5","0","0","5","0.37500000","0.05625000","0.31875000","0","Thinktrek Software LLP","ThinkTrek",""
"169876","Mon Bawra","Kanamachi","Indradeep Dasgupta","INT441632205","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","ThinkTrek","PDL","430","52","0","482","36.15000000","5.42250000","30.72750000","0","Thinktrek Software LLP","ThinkTrek",""
"202456","Bolo Bolo Bolo Shobe","Monchuri","Raja Narayan Deb","INT441636701","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","ThinkTrek","PDL","6","0","0","6","0.45000000","0.06750000","0.38250000","0","Thinktrek Software LLP","ThinkTrek",""
"209545","Natraj Nache Re","Tara Maa Ki Mahima Aapar","Jojo  Mrinal Mukherjee  Prem Kumar","INT441651502","8.90387E+12","Hindi","ThinkTrek","Thinktrek Software LLP","ThinkTrek","PDL","9","0","0","9","0.67500000","0.10125000","0.57375000","0","Thinktrek Software LLP","ThinkTrek",""
"220261","Tere Darbar Main Tara Maiya","Tara Maa Ki Mahima Aapar","Jojo  Mrinal Mukherjee  Prem Kumar","INT441651507","8.90387E+12","Hindi","ThinkTrek","Thinktrek Software LLP","ThinkTrek","PDL","119","2","0","121","9.07500000","1.36125000","7.71375000","0","Thinktrek Software LLP","ThinkTrek",""
"234909","Tohare Khatir","Tara Maa Ki Mahima Aapar","Jojo  Mrinal Mukherjee  Prem Kumar","INT441651508","8.90387E+12","Hindi","ThinkTrek","Thinktrek Software LLP","ThinkTrek","PDL","9","1","0","10","0.75000000","0.11250000","0.63750000","0","Thinktrek Software LLP","ThinkTrek",""
"292753","Tara Mayre Aroti 01","Tara Maa Ki Mahima Aapar","Jojo  Mrinal Mukherjee  Prem Kumar","INT441651506","8.90387E+12","Hindi","ThinkTrek","Thinktrek Software LLP","ThinkTrek","PDL","12","0","0","12","0.90000000","0.13500000","0.76500000","0","Thinktrek Software LLP","ThinkTrek",""
"307409","Mantra Uchharon","Tara Maa Ki Mahima Aapar","Jojo  Mrinal Mukherjee  Prem Kumar","INT441651501","8.90387E+12","Hindi","ThinkTrek","Thinktrek Software LLP","ThinkTrek","PDL","30","0","0","30","2.25000000","0.33750000","1.91250000","0","Thinktrek Software LLP","ThinkTrek",""
"395586","Tara Mayre Aroti","Tara Maa Ki Mahima Aapar","Jojo  Mrinal Mukherjee  Prem Kumar","INT441651505","8.90387E+12","Hindi","ThinkTrek","Thinktrek Software LLP","ThinkTrek","PDL","20","0","0","20","1.50000000","0.22500000","1.27500000","0","Thinktrek Software LLP","ThinkTrek",""
