song_id,isrc,song_name,album_name,language,label,Main_Label,Sub_Label,Label_Identification,artist,album_id,total,file_name,income,admin_Exp,royality,id,original_l1_name,original_l2_name,company
"srch_pplkolkata_IN-T44-19-00216","int441900216","jadi brishti tumi kane kane","Amar mita  vol. 02","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","Bratati Bandyopadhyay","srch_pplkolkata_193483832005","1","Kolkata","0.05618003","0.00842700","0.04775302","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-19-00086","int441900086","e to khela noe  khela noe","Jibansathi","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","sujata chakraborty bandyopadhyay","srch_pplkolkata_193483502922","1","Kolkata","0.05618003","0.00842700","0.04775302","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-17-04141","int441704141","mon jaane monomohon aailo","Gitabitan  vol. 57","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","baishakhi ghoshal","srch_pplkolkata_191773861391","2","Kolkata","0.11236005","0.01685401","0.09550604","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_INT442000482","int442000482","Aashiley Key Go Otithi","Bengali Hamd-Naat of Kazi Nazrul Islam  Vol. 01.","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","yakub ali khan","srch_pplkolkata_195081535784","2","Kolkata","0.11236005","0.01685401","0.09550604","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_INT442000742","int442000742","Ameena Dulal","Bengali Hamd-Naat of Kazi Nazrul Islam  Vol. 02.","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","nashid kamal","srch_pplkolkata_195081836577","1","Kolkata","0.05618003","0.00842700","0.04775302","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-18-00658","int441800658","gayatri mantra ver_1","Gayatri mantra  vol. 01","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","Manna Dey","srch_pplkolkata_192562387573","15","Kolkata","0.84270037","0.12640506","0.71629532","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-16-59006","int441659006","sufi - egypt  pt. 6","Sufi sutra 06","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","elkawmeya folkloric music troupe","srch_pplkolkata_190374677004","1","Kolkata","0.05618003","0.00842700","0.04775302","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-19-00174","int441900174","udash baul ak tarate","Amar mita  vol. 04","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","barun ghosh","srch_pplkolkata_193483832166","2","Kolkata","0.11236005","0.01685401","0.09550604","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-16-51501","int441651501","Mantra Uchharon","Tara Maa Ki Mahima Aapar","hi","ThinkTrek","Thinktrek Software LLP","PDL","PDL","JoJo Prem Kumar Mrinal Mukherjee","srch_pplkolkata_TTSL-CD-510","4","Kolkata","0.22472010","0.03370802","0.19101208","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-16-51507","int441651507","Tere Darbar Main Tara Maiya","Tara Maa Ki Mahima Aapar","hi","ThinkTrek","Thinktrek Software LLP","PDL","PDL","JoJo Prem Kumar Mrinal Mukherjee","srch_pplkolkata_TTSL-CD-510","19","Kolkata","1.06742047","0.16011307","0.90730740","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-17-04213","int441704213","basanti  he bhubanamohini","Valobeshe","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","Chandrabali Rudra Dutta","srch_pplkolkata_191773834685","2","Kolkata","0.11236005","0.01685401","0.09550604","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-17-81605","int441781605","Sokatore","Posto","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","utsa biswas shabnam parvin soumita ghosh sharana sengupta palashi ghose","srch_pplkolkata_TTSL-CD-748","186","Kolkata","10.44948462","1.56742269","8.88206192","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_INT442000484","int442000484","Elo Ramjaneri Chaand","Bengali Hamd-Naat of Kazi Nazrul Islam  Vol. 01.","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","yakub ali khan","srch_pplkolkata_195081535784","65","Kolkata","3.65170161","0.54775524","3.10394637","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_INT442000177","int442000177","Ora Amader Gaan","Uttaran  Vol. 08.","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","Somobeto","srch_pplkolkata_194491992682","4","Kolkata","0.22472010","0.03370802","0.19101208","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-17-04212","int441704212","ogo nadi  apan bege","Valobeshe","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","Chandrabali Rudra Dutta","srch_pplkolkata_191773834685","1","Kolkata","0.05618003","0.00842700","0.04775302","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-16-51505","int441651505","Tara Mayre Aroti","Tara Maa Ki Mahima Aapar","hi","ThinkTrek","Thinktrek Software LLP","PDL","PDL","JoJo Prem Kumar Mrinal Mukherjee","srch_pplkolkata_TTSL-CD-510","6","Kolkata","0.33708015","0.05056202","0.28651813","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-18-00800","int441800800","tumihina songihin hasan","Kotha de","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","Hasan","srch_pplkolkata_193483000268","3","Kolkata","0.16854007","0.02528101","0.14325906","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-16-59014","int441659014","sufi - kashmir  pt. 8","Sufi sutra 06","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","kashmir music society","srch_pplkolkata_190374677004","2","Kolkata","0.11236005","0.01685401","0.09550604","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_INT442000483","int442000483","Allah Naamer Beej Bunecchi","Bengali Hamd-Naat of Kazi Nazrul Islam  Vol. 01.","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","Tanjina Karim Sharalipi","srch_pplkolkata_195081535784","7","Kolkata","0.39326017","0.05898903","0.33427115","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-19-00172","int441900172","amar praner rodon ke pay","Amar mita  vol. 02","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","Bratati Bandyopadhyay","srch_pplkolkata_193483832005","1","Kolkata","0.05618003","0.00842700","0.04775302","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_INT442000170","int442000170","Matite Janmo Nilam","Uttaran  Vol. 08.","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","Somobeto","srch_pplkolkata_194491992682","3","Kolkata","0.16854007","0.02528101","0.14325906","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_INT442000744","int442000744","Shono Shono Ya Elahi","Bengali Hamd-Naat of Kazi Nazrul Islam  Vol. 02.","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","nashid kamal","srch_pplkolkata_195081836577","49","Kolkata","2.75282122","0.41292318","2.33989803","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-19-00175","int441900175","udash baul ak tarate","Amar mita  vol. 02","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","Bratati Bandyopadhyay","srch_pplkolkata_193483832005","5","Kolkata","0.28090012","0.04213502","0.23876511","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-16-51508","int441651508","Tohare Khatir","Tara Maa Ki Mahima Aapar","hi","ThinkTrek","Thinktrek Software LLP","PDL","PDL","JoJo Prem Kumar Mrinal Mukherjee","srch_pplkolkata_TTSL-CD-510","1","Kolkata","0.05618003","0.00842700","0.04775302","216","Thinktrek Software LLP","PDL",""
